Complejo,ANP,ANP_name,ANP_shortname,Buffer_file,Buffer_name
Complejo Sierra Gorda,Barranca de Metztitlán,Barranca de Metztitlán,BM,zi6105144_25cw,Reserva de la Biosfera Barranca de Metztitlán
Complejo Chichinautzin,Chichinautzin,Corredor Biológico Chichinautzin,CBC,zi6702093_25cw,Área de Protección de Flora y Fauna Corredor Biológico Chichinautzin
Complejo Ciénegas,Ciénegas de Lerma,Ciénegas del Lerma,CL,zi6703153_25cw,Área de Protección de Flora y Fauna Cienegas del Lerma
Complejo Sierra Nevada,Cumbres del Ajusco,Cumbres del Ajusco,CA,zi6306011_25cw,Parque Nacional Cumbres del Ajusco
Complejo Sierra Nevada,Desierto de los Leones,Desierto de los Leones,DL,zi6301001_25cw,Parque Nacional Desierto de los Leones
Complejo Sierra Gorda,El Chico,El Chico,EC,zi6325069_25cw,Parque Nacional El Chico
Complejo Chichinautzin,El Tepozteco,El Tepozteco,ET,zi6309015_25cw,Parque Nacional El Tepozteco
Complejo Selvas Secas,El Veladero,El Veladero,EV,zi6323059_25cw,Parque Nacional El Veladero
Complejo Selvas Secas,Grutas de Cacahuamilpa,Grutas de Cacahuamilpa,GC,zi6303004_25cw,Parque Nacional Grutas de Cacahuamilpa
Complejo Sierra Nevada,Insurgente Miguel Hidalgo y Costilla,Insurgente Miguel Hidalgo y Costilla,IMH,zi6305009_25cw,Parque Nacional Insurgente Miguel Hidalgo y Costilla
Complejo Sierra Nevada,Iztaccíhuatl-Popocatépetl,Iztaccíhuatl-Popocatépetl,IP,zi6302002_25cw,Parque Nacional Iztaccíhuatl-Popocatépetl
Complejo Sierra Nevada,La Montaña Malinche,La Montaña Malinche o Matlalcuéyatl,LMM,zi6318031_25cw,Parque Nacional La Montaña Malinche o Matlalcuéyatl
Complejo Chichinautzin,Lagunas de Zempoala,Lagunas de Zempoala,LZ,zi6308013_25cw,Parque Nacional Lagunas de Zempoala
Complejo Sierra Gorda,Los Mármoles,Los Mármoles,LM,zi6304007_25cw,Parque Nacional Los Mármoles
Complejo Mariposa Monarca,Mariposa Monarca,Mariposa Monarca,MM,zi6104138_25cw,Reserva de la Biosfera Mariposa Monarca
Complejo Mariposa Monarca,Nevado de Toluca,Nevado de Toluca,NT,zi6701003_25cw,Área de Protección de Flora y Fauna Nevado de Toluca
Complejo Selvas Secas,Sierra de Huautla,Sierra de Huautla,SH,zi6103137_25cw,Reserva de la Biosfera Sierra de Huautla
Complejo Sierra Gorda,Sierra Gorda de Guanajuato,Sierra Gorda de Guanajuato,SGG,zi6106160_25cw,Reserva de la Biosfera Sierra Gorda de Guanajuato
Complejo Mariposa Monarca,Valle de Bravo,"Z.P.F.T.C.C. de los ríos Valle de Bravo, Malacatepec, Tilostoc y Temascaltepec",VB,zi6601042_25cw,"Área de Protección de Flora y Fauna Z.P.F.T.C.C. de los ríos Valle de Bravo, Malacatepec, Tilostoc y Temascaltepec"
